,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ipswich,52.06,1.16,51.8,81,20,10.29,GB,1587076669
1,Rikitea,-23.12,-134.97,76.37,75,24,12.77,PF,1587076670
2,Puerto Escondido,15.85,-97.07,86.0,79,5,6.93,MX,1587076891
3,Ribeira Grande,38.52,-28.7,58.57,76,31,10.67,PT,1587076673
4,Mataura,-46.19,168.86,46.0,95,100,4.0,NZ,1587076668
5,Port Alfred,-33.59,26.89,60.01,84,0,1.01,ZA,1587076892
6,Iqaluit,63.75,-68.51,12.0,72,75,23.04,CA,1587076892
7,Punta Arenas,-53.15,-70.92,50.0,87,75,8.05,CL,1587076486
8,Cabo San Lucas,22.89,-109.91,84.99,41,20,6.93,MX,1587076213
9,Salalah,17.02,54.09,82.4,74,20,3.36,OM,1587076763
10,Erenhot,43.65,111.98,44.98,37,0,5.06,CN,1587076761
11,Zelenoborskiy,66.84,32.36,28.65,96,91,10.27,RU,1587076893
12,Bethel,41.37,-73.41,46.99,26,40,10.29,US,1587076894
13,Ushuaia,-54.8,-68.3,57.2,54,98,13.87,AR,1587076894
14,Paragominas,-2.97,-47.48,75.31,92,80,2.21,BR,1587076894
15,Avarua,-21.21,-159.78,80.6,65,92,8.05,CK,1587076781
16,Fairbanks,64.84,-147.72,44.6,80,90,11.41,US,1587076803
17,Puerto Ayora,-0.74,-90.35,82.4,83,75,14.99,EC,1587076895
18,Lompoc,34.64,-120.46,72.0,72,1,14.99,US,1587076688
19,São João da Barra,-21.64,-41.05,77.0,83,75,9.17,BR,1587076735
20,Aklavik,68.22,-135.01,33.8,86,90,16.11,CA,1587076896
21,Butaritari,3.07,172.79,83.98,75,99,13.87,KI,1587076698
22,Margate,51.38,1.39,51.01,81,0,8.05,GB,1587076608
23,Hilo,19.73,-155.09,77.0,65,90,6.93,US,1587076896
24,Wanning,18.8,110.4,76.84,77,100,8.03,CN,1587076897
25,The Valley,18.22,-63.06,82.4,69,40,9.17,AI,1587076863
26,Panalingaan,8.78,117.42,82.54,70,53,7.2,PH,1587076897
27,Grindavik,63.84,-22.43,42.8,100,90,14.99,IS,1587076897
28,Port Elizabeth,-33.92,25.57,55.4,87,0,3.36,ZA,1587076899
29,Port Keats,-14.25,129.55,83.23,71,69,6.04,AU,1587076899
30,Chokurdakh,70.63,147.92,-4.65,91,87,9.93,RU,1587076899
31,Faanui,-16.48,-151.75,83.26,66,15,9.71,PF,1587076769
32,Saskylakh,71.92,114.08,-5.15,90,0,3.02,RU,1587076900
33,Kaitangata,-46.28,169.85,48.99,80,100,1.99,NZ,1587076671
34,Bredasdorp,-34.53,20.04,62.6,72,100,1.12,ZA,1587076900
35,Athabasca,54.72,-113.29,41.2,72,68,8.99,CA,1587076901
